Date,City,State,Zone,PM2_5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
2018-04-17,Ahmedabad,Gujarat,West,95.6,148.7,54.1,27.7,0.58,20.7,179,Moderate
2018-04-21,Ahmedabad,Gujarat,West,77.4,154.9,21.7,42.9,0.96,67.0,163,Moderate
2018-04-30,Ahmedabad,Gujarat,West,60.1,102.2,59.4,49.2,2.36,31.9,171,Moderate
2018-05-01,Ahmedabad,Gujarat,West,79.8,133.0,16.3,27.8,2.07,36.9,192,Moderate
2018-05-09,Ahmedabad,Gujarat,West,95.6,173.8,55.2,42.6,1.09,71.0,175,Moderate
2018-05-12,Ahmedabad,Gujarat,West,69.9,106.8,48.0,29.4,1.11,77.7,163,Moderate
2018-05-16,Ahmedabad,Gujarat,West,86.7,180.2,68.3,13.5,2.79,37.6,159,Moderate
2018-05-18,Ahmedabad,Gujarat,West,104.6,222.9,88.1,45.6,0.79,68.5,197,Moderate
2018-05-23,Ahmedabad,Gujarat,West,79.0,164.3,62.6,21.4,1.7,18.3,167,Moderate
2018-05-25,Ahmedabad,Gujarat,West,64.6,137.3,20.1,33.3,2.34,27.9,178,Moderate
2018-06-03,Ahmedabad,Gujarat,West,49.5,77.4,50.5,22.6,0.51,74.9,126,Moderate
2018-06-05,Ahmedabad,Gujarat,West,38.2,62.8,57.3,13.4,1.43,70.6,85,Satisfactory
2018-06-08,Ahmedabad,Gujarat,West,43.2,83.8,10.2,25.9,2.64,75.2,116,Moderate
2018-06-25,Ahmedabad,Gujarat,West,40.2,74.4,14.5,27.1,3.27,21.9,98,Satisfactory
2018-06-26,Ahmedabad,Gujarat,West,50.8,81.6,83.3,40.0,1.7,53.0,106,Moderate
2018-06-27,Ahmedabad,Gujarat,West,32.6,49.7,78.5,15.4,3.03,24.0,61,Satisfactory
2018-06-27,Ahmedabad,Gujarat,West,56.7,97.9,54.9,5.5,1.55,36.5,108,Moderate
2018-07-06,Ahmedabad,Gujarat,West,27.0,42.5,34.7,33.7,0.71,23.8,58,Satisfactory
2018-07-07,Ahmedabad,Gujarat,West,36.5,76.9,41.5,34.4,1.84,53.5,83,Satisfactory
2018-07-08,Ahmedabad,Gujarat,West,48.9,89.8,26.5,13.2,1.17,16.9,126,Moderate
2018-07-09,Ahmedabad,Gujarat,West,52.9,86.8,56.3,22.5,2.8,23.4,98,Satisfactory
2018-07-10,Ahmedabad,Gujarat,West,79.3,160.9,21.6,32.6,1.86,73.3,172,Moderate
2018-07-10,Ahmedabad,Gujarat,West,56.0,90.7,42.0,42.4,1.16,63.8,102,Moderate
2018-07-14,Ahmedabad,Gujarat,West,14.6,23.1,29.2,14.3,3.45,39.8,37,Good
2018-07-18,Ahmedabad,Gujarat,West,50.6,105.0,22.2,6.7,2.63,33.2,138,Moderate
2018-07-22,Ahmedabad,Gujarat,West,34.1,65.3,70.9,19.9,2.19,21.4,89,Satisfactory
2018-07-24,Ahmedabad,Gujarat,West,64.1,99.2,23.5,14.1,1.71,18.9,118,Moderate
2018-07-24,Ahmedabad,Gujarat,West,68.9,131.9,20.6,42.5,2.28,60.6,141,Moderate
2018-08-01,Ahmedabad,Gujarat,West,64.6,120.6,18.4,39.0,0.73,37.6,129,Moderate
2018-08-02,Ahmedabad,Gujarat,West,47.8,86.3,49.3,47.7,1.82,66.8,101,Moderate
2018-08-05,Ahmedabad,Gujarat,West,67.9,112.0,12.3,17.0,1.82,66.2,152,Moderate
2018-08-07,Ahmedabad,Gujarat,West,68.5,128.5,59.0,11.7,1.69,36.8,160,Moderate
2018-08-09,Ahmedabad,Gujarat,West,74.0,117.7,56.3,40.7,2.05,41.6,136,Moderate
2018-08-10,Ahmedabad,Gujarat,West,62.1,120.6,27.7,46.0,2.41,42.2,133,Moderate
2018-08-15,Ahmedabad,Gujarat,West,49.3,88.7,83.3,41.8,3.0,33.6,93,Satisfactory
2018-08-15,Ahmedabad,Gujarat,West,62.5,113.1,70.4,34.7,1.64,19.6,151,Moderate
2018-08-20,Ahmedabad,Gujarat,West,58.4,99.9,85.3,17.6,3.27,77.6,112,Moderate
2018-08-23,Ahmedabad,Gujarat,West,44.4,97.5,55.4,20.7,2.81,24.2,84,Satisfactory
2018-08-29,Ahmedabad,Gujarat,West,48.4,74.7,75.4,6.9,0.83,32.9,99,Satisfactory
2018-09-04,Ahmedabad,Gujarat,West,54.5,114.9,15.2,41.5,2.83,29.4,100,Satisfactory
2018-09-04,Ahmedabad,Gujarat,West,52.6,80.1,47.4,16.4,3.11,41.9,103,Moderate
2018-09-08,Ahmedabad,Gujarat,West,52.8,114.3,17.3,12.3,3.38,49.9,103,Moderate
2018-09-16,Ahmedabad,Gujarat,West,28.8,51.9,37.0,10.5,1.32,72.6,78,Satisfactory
2018-09-18,Ahmedabad,Gujarat,West,54.7,90.2,28.6,27.9,2.39,15.1,103,Moderate
2018-09-24,Ahmedabad,Gujarat,West,56.6,91.8,81.1,27.3,3.17,19.1,144,Moderate
2018-09-28,Ahmedabad,Gujarat,West,44.0,88.0,86.6,24.2,1.87,73.4,81,Satisfactory
2018-10-02,Ahmedabad,Gujarat,West,98.1,158.2,63.1,13.1,1.09,49.5,197,Moderate
2018-10-03,Ahmedabad,Gujarat,West,81.1,140.9,27.5,30.3,3.33,20.0,172,Moderate
2018-10-06,Ahmedabad,Gujarat,West,57.7,107.3,69.1,45.8,3.26,49.8,116,Moderate
2018-10-08,Ahmedabad,Gujarat,West,43.5,70.6,23.5,35.2,0.44,67.4,120,Moderate
2018-10-11,Ahmedabad,Gujarat,West,68.7,113.1,58.6,29.2,0.91,30.5,151,Moderate
2018-10-14,Ahmedabad,Gujarat,West,64.0,122.8,20.0,49.0,1.81,68.4,162,Moderate
2018-10-14,Ahmedabad,Gujarat,West,87.3,138.6,65.0,30.9,0.92,64.1,182,Moderate
2018-10-23,Ahmedabad,Gujarat,West,61.3,99.2,75.4,12.3,1.41,46.9,127,Moderate
2018-10-25,Ahmedabad,Gujarat,West,69.6,136.1,59.4,11.8,2.93,56.3,164,Moderate
2018-10-29,Ahmedabad,Gujarat,West,77.7,144.4,34.4,14.6,0.5,34.8,159,Moderate
2018-10-30,Ahmedabad,Gujarat,West,103.9,180.7,35.5,42.8,1.47,56.1,217,Poor
2018-11-01,Ahmedabad,Gujarat,West,105.3,174.1,38.9,40.5,2.69,52.5,221,Poor
2018-11-05,Ahmedabad,Gujarat,West,151.8,276.1,89.8,13.4,2.44,79.7,279,Poor
2018-11-07,Ahmedabad,Gujarat,West,99.5,205.1,14.4,47.0,1.06,46.7,277,Poor
2018-11-08,Ahmedabad,Gujarat,West,95.1,148.5,61.7,17.4,0.68,41.9,265,Poor
2018-11-10,Ahmedabad,Gujarat,West,95.6,203.3,50.9,28.9,0.73,44.1,194,Moderate
2018-11-13,Ahmedabad,Gujarat,West,110.7,185.1,83.2,20.1,3.35,49.6,250,Poor
2018-11-19,Ahmedabad,Gujarat,West,120.8,243.1,29.0,12.6,2.38,40.6,258,Poor
2018-11-30,Ahmedabad,Gujarat,West,134.9,205.0,15.2,28.7,0.8,45.0,266,Poor
2018-12-04,Ahmedabad,Gujarat,West,97.9,206.6,51.3,22.3,0.58,39.8,264,Poor
2018-12-07,Ahmedabad,Gujarat,West,111.1,233.9,35.1,34.6,3.28,61.8,306,Very Poor
2018-12-17,Ahmedabad,Gujarat,West,120.8,233.9,68.2,20.4,3.25,47.7,228,Poor
2018-12-21,Ahmedabad,Gujarat,West,106.0,176.0,58.6,45.2,0.61,72.0,203,Poor
2018-12-25,Ahmedabad,Gujarat,West,132.3,278.4,11.4,8.8,1.04,53.6,268,Poor
2018-12-26,Ahmedabad,Gujarat,West,93.4,176.6,83.4,22.6,3.02,15.0,246,Poor
2018-12-28,Ahmedabad,Gujarat,West,80.3,144.0,32.9,20.3,2.0,26.0,206,Poor
2018-12-29,Ahmedabad,Gujarat,West,116.7,201.9,15.4,35.2,2.28,79.3,220,Poor
2019-01-04,Ahmedabad,Gujarat,West,81.9,137.5,82.7,28.5,2.89,47.9,216,Poor
2019-01-09,Ahmedabad,Gujarat,West,100.3,192.0,14.7,7.9,1.72,54.3,240,Poor
2019-01-12,Ahmedabad,Gujarat,West,124.6,260.4,39.5,20.6,3.11,71.2,280,Poor
2019-01-13,Ahmedabad,Gujarat,West,156.8,317.3,14.4,5.9,2.69,18.6,290,Poor
2019-01-14,Ahmedabad,Gujarat,West,116.2,203.0,14.8,35.7,1.26,18.6,255,Poor
2019-01-16,Ahmedabad,Gujarat,West,140.3,253.0,61.5,18.7,1.77,40.6,290,Poor
2019-01-16,Ahmedabad,Gujarat,West,131.4,275.5,37.0,45.3,2.74,62.1,240,Poor
2019-01-19,Ahmedabad,Gujarat,West,94.3,141.6,28.0,23.8,1.83,32.3,230,Poor
2019-01-20,Ahmedabad,Gujarat,West,99.4,214.7,44.9,49.3,0.58,61.7,230,Poor
2019-01-22,Ahmedabad,Gujarat,West,106.6,227.5,42.8,31.4,3.28,37.1,226,Poor
2019-01-25,Ahmedabad,Gujarat,West,127.5,267.0,30.0,27.0,1.09,79.2,261,Poor
2019-01-26,Ahmedabad,Gujarat,West,92.4,196.9,37.3,5.4,2.0,49.1,216,Poor
2019-01-28,Ahmedabad,Gujarat,West,137.4,249.9,40.6,47.4,3.41,57.3,286,Poor
2019-01-30,Ahmedabad,Gujarat,West,118.3,197.4,44.5,44.3,2.99,76.2,270,Poor
2019-01-31,Ahmedabad,Gujarat,West,101.9,161.1,78.0,36.1,1.66,43.0,253,Poor
2019-02-05,Ahmedabad,Gujarat,West,97.1,189.7,71.5,13.5,1.93,40.8,258,Poor
2019-02-09,Ahmedabad,Gujarat,West,117.2,218.0,81.8,15.8,1.42,35.1,263,Poor
2019-02-11,Ahmedabad,Gujarat,West,121.3,220.0,62.0,41.1,3.41,57.9,259,Poor
2019-02-13,Ahmedabad,Gujarat,West,112.7,234.5,35.9,17.9,0.55,47.7,234,Poor
2019-02-14,Ahmedabad,Gujarat,West,98.4,186.6,49.8,31.8,3.31,20.2,260,Poor
2019-02-16,Ahmedabad,Gujarat,West,93.2,164.0,51.8,7.4,2.62,50.3,241,Poor
2019-02-18,Ahmedabad,Gujarat,West,101.8,167.1,53.8,31.9,0.47,28.2,228,Poor
2019-02-20,Ahmedabad,Gujarat,West,97.9,196.2,10.5,10.7,2.64,64.4,255,Poor
2019-02-26,Ahmedabad,Gujarat,West,105.6,227.5,33.9,21.2,2.62,54.7,222,Poor
2019-02-26,Ahmedabad,Gujarat,West,118.0,209.2,60.6,32.3,1.89,76.4,241,Poor
2019-02-26,Ahmedabad,Gujarat,West,101.5,208.0,13.1,7.7,1.31,52.2,278,Poor
2019-03-04,Ahmedabad,Gujarat,West,64.7,100.7,44.6,25.2,3.24,23.3,165,Moderate
2019-03-07,Ahmedabad,Gujarat,West,64.6,133.2,86.7,41.4,1.74,15.2,170,Moderate
2019-03-19,Ahmedabad,Gujarat,West,90.4,147.9,64.8,40.4,1.66,18.8,221,Poor
2019-03-24,Ahmedabad,Gujarat,West,99.9,196.2,41.9,7.1,1.61,75.1,185,Moderate
2019-04-05,Ahmedabad,Gujarat,West,62.7,109.0,56.1,19.0,0.95,71.1,141,Moderate
2019-04-10,Ahmedabad,Gujarat,West,74.3,137.8,48.9,31.7,1.55,58.6,157,Moderate
2019-04-13,Ahmedabad,Gujarat,West,73.9,154.4,17.4,31.3,0.76,51.6,166,Moderate
2019-04-21,Ahmedabad,Gujarat,West,81.4,125.1,63.7,35.9,2.54,20.9,179,Moderate
2019-04-23,Ahmedabad,Gujarat,West,90.8,170.9,57.6,11.8,1.68,16.9,209,Poor
2019-04-24,Ahmedabad,Gujarat,West,63.2,113.8,24.8,35.7,2.59,71.7,172,Moderate
2019-04-26,Ahmedabad,Gujarat,West,81.2,175.0,28.2,23.4,0.88,49.8,208,Poor
2019-04-26,Ahmedabad,Gujarat,West,48.3,88.7,40.3,21.0,1.13,68.2,134,Moderate
2019-04-29,Ahmedabad,Gujarat,West,65.8,109.8,41.8,10.0,0.95,47.5,166,Moderate
2019-05-06,Ahmedabad,Gujarat,West,83.2,161.2,37.0,41.8,2.24,15.6,164,Moderate
2019-05-09,Ahmedabad,Gujarat,West,95.1,199.8,51.2,24.1,0.86,42.2,173,Moderate
2019-05-17,Ahmedabad,Gujarat,West,64.5,141.6,78.1,48.8,3.09,65.5,150,Moderate
2019-05-18,Ahmedabad,Gujarat,West,72.8,136.8,19.1,24.6,2.85,24.3,205,Poor
2019-05-25,Ahmedabad,Gujarat,West,62.7,135.1,69.9,40.5,2.0,28.9,146,Moderate
2019-05-27,Ahmedabad,Gujarat,West,61.2,116.5,75.8,40.0,3.16,75.3,152,Moderate
2019-05-27,Ahmedabad,Gujarat,West,55.1,107.9,45.6,48.7,3.4,73.8,137,Moderate
2019-05-28,Ahmedabad,Gujarat,West,70.4,129.1,42.0,19.1,0.86,68.4,156,Moderate
2019-05-28,Ahmedabad,Gujarat,West,117.9,250.4,81.4,23.8,2.72,30.2,223,Poor
2019-06-05,Ahmedabad,Gujarat,West,68.7,136.6,34.9,19.7,2.04,69.3,133,Moderate
2019-06-13,Ahmedabad,Gujarat,West,56.6,108.5,52.6,28.7,2.25,79.6,140,Moderate
2019-06-16,Ahmedabad,Gujarat,West,49.8,82.5,74.5,8.1,2.38,56.6,125,Moderate
2019-06-19,Ahmedabad,Gujarat,West,48.4,75.7,52.8,26.1,3.29,30.0,122,Moderate
2019-06-26,Ahmedabad,Gujarat,West,61.4,93.8,33.3,14.3,1.14,74.0,115,Moderate
2019-06-28,Ahmedabad,Gujarat,West,40.9,63.7,36.0,36.8,2.21,77.6,102,Moderate
2019-06-29,Ahmedabad,Gujarat,West,50.6,103.4,25.4,18.5,2.46,41.8,113,Moderate
2019-07-06,Ahmedabad,Gujarat,West,67.5,116.6,42.8,41.4,2.79,29.5,178,Moderate
2019-07-11,Ahmedabad,Gujarat,West,51.2,102.0,62.4,16.9,0.64,74.5,143,Moderate
2019-07-13,Ahmedabad,Gujarat,West,57.5,89.0,64.2,34.6,0.51,51.1,119,Moderate
2019-07-16,Ahmedabad,Gujarat,West,45.9,89.9,73.3,21.0,3.36,70.3,124,Moderate
2019-07-17,Ahmedabad,Gujarat,West,61.1,100.2,30.2,27.0,2.67,44.9,164,Moderate
2019-07-21,Ahmedabad,Gujarat,West,73.9,144.9,34.8,13.4,0.76,18.3,141,Moderate
2019-07-21,Ahmedabad,Gujarat,West,60.0,111.4,78.0,25.3,1.73,75.7,125,Moderate
2019-07-25,Ahmedabad,Gujarat,West,69.7,126.7,65.7,21.6,0.86,35.9,133,Moderate
2019-07-28,Ahmedabad,Gujarat,West,35.3,73.3,70.1,24.9,0.7,44.2,94,Satisfactory
2019-08-01,Ahmedabad,Gujarat,West,77.8,124.2,50.3,9.2,3.38,29.0,146,Moderate
2019-08-01,Ahmedabad,Gujarat,West,36.2,69.9,13.8,31.7,2.8,54.1,95,Satisfactory
2019-08-02,Ahmedabad,Gujarat,West,56.4,88.8,29.6,35.6,3.18,42.4,127,Moderate
2019-08-02,Ahmedabad,Gujarat,West,73.0,133.6,55.4,45.3,2.56,23.8,141,Moderate
2019-08-03,Ahmedabad,Gujarat,West,35.1,57.2,75.5,5.1,0.54,23.3,98,Satisfactory
2019-08-05,Ahmedabad,Gujarat,West,53.5,116.5,73.6,6.5,3.11,45.7,123,Moderate
2019-08-07,Ahmedabad,Gujarat,West,54.6,101.4,14.3,48.7,0.58,26.6,126,Moderate
2019-08-09,Ahmedabad,Gujarat,West,55.4,110.6,29.9,19.6,1.44,16.7,123,Moderate
2019-08-23,Ahmedabad,Gujarat,West,46.6,88.4,60.0,24.9,0.88,43.1,123,Moderate
2019-08-26,Ahmedabad,Gujarat,West,49.1,86.9,38.6,5.0,2.89,72.8,103,Moderate
2019-08-30,Ahmedabad,Gujarat,West,51.2,100.5,75.2,40.0,2.76,27.2,127,Moderate
2019-08-31,Ahmedabad,Gujarat,West,73.7,117.2,36.8,38.5,0.9,68.2,143,Moderate
2019-09-05,Ahmedabad,Gujarat,West,53.0,107.5,51.0,17.9,3.04,53.8,114,Moderate
2019-09-14,Ahmedabad,Gujarat,West,47.3,89.8,39.8,47.8,3.02,68.9,102,Moderate
2019-09-17,Ahmedabad,Gujarat,West,40.0,85.4,33.0,6.3,3.48,35.2,113,Moderate
2019-09-17,Ahmedabad,Gujarat,West,61.7,126.0,20.3,42.0,2.34,50.0,151,Moderate
2019-09-19,Ahmedabad,Gujarat,West,49.5,105.2,27.2,39.2,0.55,68.2,91,Satisfactory
2019-09-26,Ahmedabad,Gujarat,West,49.3,101.7,23.6,11.4,1.71,37.6,137,Moderate
2019-09-27,Ahmedabad,Gujarat,West,61.3,109.8,22.4,35.8,2.87,18.1,115,Moderate
2019-09-28,Ahmedabad,Gujarat,West,36.2,55.6,78.0,26.2,1.96,19.0,97,Satisfactory
2019-10-06,Ahmedabad,Gujarat,West,46.9,97.5,10.7,26.5,0.57,66.9,132,Moderate
2019-10-09,Ahmedabad,Gujarat,West,60.7,94.0,39.6,25.9,2.64,57.7,143,Moderate
2019-10-18,Ahmedabad,Gujarat,West,59.8,124.8,74.0,16.8,1.69,44.4,121,Moderate
2019-10-19,Ahmedabad,Gujarat,West,37.4,79.4,89.3,30.6,2.8,70.8,98,Satisfactory
2019-10-19,Ahmedabad,Gujarat,West,74.5,145.4,21.8,20.4,3.22,74.2,180,Moderate
2019-10-19,Ahmedabad,Gujarat,West,63.0,122.6,52.9,31.8,1.86,33.1,151,Moderate
2019-10-20,Ahmedabad,Gujarat,West,67.1,131.5,50.8,15.7,3.26,18.5,130,Moderate
2019-10-21,Ahmedabad,Gujarat,West,87.0,148.4,55.7,38.5,1.57,34.7,170,Moderate
2019-10-23,Ahmedabad,Gujarat,West,60.6,130.9,47.5,20.6,1.06,32.4,154,Moderate
2019-10-30,Ahmedabad,Gujarat,West,91.8,194.1,48.7,25.5,2.9,72.5,185,Moderate
2019-10-31,Ahmedabad,Gujarat,West,48.3,94.3,85.8,27.9,1.82,71.2,131,Moderate
2019-11-08,Ahmedabad,Gujarat,West,105.7,201.2,84.4,18.9,3.49,20.6,257,Poor
2019-11-15,Ahmedabad,Gujarat,West,124.8,213.7,27.7,38.1,2.51,46.3,255,Poor
2019-11-19,Ahmedabad,Gujarat,West,80.6,129.9,40.2,9.8,1.01,64.7,228,Poor
2019-11-19,Ahmedabad,Gujarat,West,83.6,156.1,34.5,8.2,1.02,55.2,228,Poor
2019-11-20,Ahmedabad,Gujarat,West,88.8,156.2,51.9,30.3,2.26,50.7,244,Poor
2019-11-23,Ahmedabad,Gujarat,West,101.3,162.4,60.6,48.4,2.44,38.0,244,Poor
2019-11-28,Ahmedabad,Gujarat,West,164.9,315.4,47.7,30.8,3.28,68.8,304,Very Poor
2019-12-02,Ahmedabad,Gujarat,West,116.8,251.1,32.9,17.5,1.77,38.2,249,Poor
2019-12-03,Ahmedabad,Gujarat,West,86.5,163.9,86.1,9.9,0.5,54.5,199,Moderate
2019-12-03,Ahmedabad,Gujarat,West,79.9,131.0,88.5,17.6,2.01,50.7,216,Poor
2019-12-04,Ahmedabad,Gujarat,West,108.2,236.6,66.3,38.9,0.6,64.6,283,Poor
2019-12-08,Ahmedabad,Gujarat,West,134.7,227.2,19.6,23.8,2.13,35.2,262,Poor
2019-12-09,Ahmedabad,Gujarat,West,139.4,213.6,78.8,24.7,1.3,17.5,262,Poor
2019-12-13,Ahmedabad,Gujarat,West,123.9,268.4,83.3,34.0,0.91,76.8,255,Poor
2019-12-15,Ahmedabad,Gujarat,West,133.4,212.8,54.6,30.1,3.07,37.2,250,Poor
2019-12-17,Ahmedabad,Gujarat,West,127.3,205.4,13.7,21.5,2.84,55.2,263,Poor
2019-12-22,Ahmedabad,Gujarat,West,115.9,187.4,22.1,35.9,3.14,34.5,262,Poor
2020-01-01,Ahmedabad,Gujarat,West,154.4,272.3,20.8,39.0,1.91,17.1,296,Poor
2020-01-10,Ahmedabad,Gujarat,West,101.4,155.8,82.4,25.3,0.44,29.6,235,Poor
2020-01-11,Ahmedabad,Gujarat,West,84.8,145.8,88.7,45.5,1.63,72.0,233,Poor
2020-01-12,Ahmedabad,Gujarat,West,93.4,197.1,79.1,39.8,1.68,66.1,204,Poor
2020-01-15,Ahmedabad,Gujarat,West,84.7,129.8,87.4,23.6,2.81,74.8,226,Poor
2020-01-16,Ahmedabad,Gujarat,West,125.3,221.6,55.7,31.4,0.97,38.5,242,Poor
2020-01-17,Ahmedabad,Gujarat,West,99.9,211.2,76.3,28.9,0.61,51.8,218,Poor
2020-01-21,Ahmedabad,Gujarat,West,87.2,148.6,63.7,16.6,1.84,68.7,228,Poor
2020-01-24,Ahmedabad,Gujarat,West,123.4,196.0,85.7,11.0,2.8,32.2,255,Poor
2020-02-03,Ahmedabad,Gujarat,West,95.4,189.6,35.5,42.0,1.89,52.7,257,Poor
2020-02-09,Ahmedabad,Gujarat,West,121.8,203.9,34.7,43.0,1.93,68.8,237,Poor
2020-02-14,Ahmedabad,Gujarat,West,87.3,150.3,89.4,21.2,2.03,32.9,219,Poor
2020-02-17,Ahmedabad,Gujarat,West,112.3,187.5,85.1,5.5,0.42,47.8,233,Poor
2020-02-18,Ahmedabad,Gujarat,West,113.8,227.1,36.1,36.6,0.53,75.4,262,Poor
2020-02-19,Ahmedabad,Gujarat,West,108.2,207.0,23.7,32.1,1.95,16.7,254,Poor
2020-02-23,Ahmedabad,Gujarat,West,87.8,148.9,47.4,9.8,3.49,80.0,247,Poor
2020-03-01,Ahmedabad,Gujarat,West,81.0,125.1,39.2,9.1,1.52,45.7,169,Moderate
2020-03-11,Ahmedabad,Gujarat,West,85.2,177.1,42.8,8.9,3.48,25.8,184,Moderate
2020-03-11,Ahmedabad,Gujarat,West,91.2,190.2,35.0,48.1,1.33,43.8,169,Moderate
2020-03-13,Ahmedabad,Gujarat,West,91.0,199.7,51.4,44.2,1.95,18.1,190,Moderate
2020-03-23,Ahmedabad,Gujarat,West,52.6,80.5,79.6,35.5,2.45,55.0,147,Moderate
2020-03-23,Ahmedabad,Gujarat,West,63.8,107.3,17.0,49.4,2.76,15.2,182,Moderate
2020-03-27,Ahmedabad,Gujarat,West,91.7,162.1,26.5,10.5,2.31,65.4,193,Moderate
2020-03-31,Ahmedabad,Gujarat,West,88.6,166.3,30.4,48.2,3.35,15.3,191,Moderate
2020-04-18,Ahmedabad,Gujarat,West,92.7,146.3,46.1,13.7,3.17,77.7,172,Moderate
2020-04-20,Ahmedabad,Gujarat,West,79.1,130.3,60.6,48.9,1.36,45.0,185,Moderate
2020-04-21,Ahmedabad,Gujarat,West,77.6,151.9,20.5,41.9,1.55,56.0,185,Moderate
2020-04-26,Ahmedabad,Gujarat,West,55.5,118.9,18.8,44.0,2.09,17.5,144,Moderate
2020-04-28,Ahmedabad,Gujarat,West,89.2,179.8,24.8,18.6,1.94,53.3,170,Moderate
2020-05-02,Ahmedabad,Gujarat,West,46.6,97.3,65.5,20.3,1.42,77.8,123,Moderate
2020-05-06,Ahmedabad,Gujarat,West,92.1,174.8,20.1,21.5,1.78,75.8,175,Moderate
2020-05-06,Ahmedabad,Gujarat,West,91.3,170.6,26.5,14.8,1.66,15.9,188,Moderate
2020-05-06,Ahmedabad,Gujarat,West,87.2,168.9,83.5,5.3,0.89,73.2,188,Moderate
2020-05-10,Ahmedabad,Gujarat,West,63.5,133.9,23.6,22.2,3.15,16.0,150,Moderate
2020-05-16,Ahmedabad,Gujarat,West,76.5,157.3,72.7,16.6,0.63,25.8,190,Moderate
2020-05-18,Ahmedabad,Gujarat,West,83.9,175.4,58.3,20.5,2.23,73.9,161,Moderate
2020-05-20,Ahmedabad,Gujarat,West,60.8,116.5,22.0,48.6,1.78,47.6,159,Moderate
2020-05-20,Ahmedabad,Gujarat,West,62.0,117.7,54.7,43.2,3.49,48.0,170,Moderate
2020-05-22,Ahmedabad,Gujarat,West,87.2,149.3,70.3,26.3,3.19,66.8,164,Moderate
2020-05-28,Ahmedabad,Gujarat,West,76.9,116.6,41.7,49.7,2.38,36.7,159,Moderate
2020-05-29,Ahmedabad,Gujarat,West,56.1,115.6,76.7,18.7,1.85,71.8,132,Moderate
2020-05-30,Ahmedabad,Gujarat,West,66.9,142.8,23.5,48.6,1.8,76.5,139,Moderate
2020-05-31,Ahmedabad,Gujarat,West,77.7,143.0,77.8,17.4,1.72,54.3,169,Moderate
2020-06-02,Ahmedabad,Gujarat,West,60.3,123.3,20.8,45.6,1.09,34.9,119,Moderate
2020-06-03,Ahmedabad,Gujarat,West,38.3,75.4,68.1,48.2,3.03,68.4,95,Satisfactory
2020-06-09,Ahmedabad,Gujarat,West,52.6,87.5,28.2,25.9,0.43,49.5,117,Moderate
2020-06-09,Ahmedabad,Gujarat,West,51.9,84.6,32.1,32.5,2.97,69.2,96,Satisfactory
